C-00038,2,Colar fumê com pinguente de trevo com zi,99.00,99.00,,kg,71171900,Colares,0.010,,
C-00039,2,Colar dourado de madre perola,9.80,91.00,,kg,71171900,Colares,0.006,,
C-00040,2,Colar fumê de correntes,89.00,94.00,,kg,71171900,Colares,0.008,,
C-00041,2,Colar fumê com pinguente em forma de got,59.00,64.00,,kg,71171900,Colares,0.010,,
C-00042,2,Colar dourado com pingente em gota ,169.00,97.00,,kg,71171900,Colares,0.008,,
C-00043,2,Colar fumê com pinguente redondo de cora,169.00,183.00,,kg,71171900,Colares,0.010,,
C-00044,2,Colar dourado com pingente de madre pero,159.00,172.00,,kg,71171900,Colares,0.008,,
C-00045,2,Colar dourado com pingente em gota crave,99.00,99.00,,kg,71171900,Colares,0.008,,
C-00046,2,Colar dourado com tambor cravejado de zi,131.00,140.00,,kg,71171900,Colares,0.014,,
C-00047,2,Colar dourado com gota dupla ,54.00,59.00,,kg,71171900,Colares,0.008,,
C-00048,2,Colar fumê com pingente de coração crave,99.00,107.00,,kg,71171900,Colares,0.010,,
CJ-0001,1,Conjunto dourado chanel cordao/brinco co,80.00,174.00,,kg,71171900,Conjuntos,0.400,,
CJ-0002,1,Conjunto dourado cordÃ£o/brinco de pÃ©rola,55.00,120.00,,kg,71171900,Conjuntos,0.120,,
P-00001,2,Pulseira de couro com várias voltas.,144.00,68.00,,kg,71171900,Pulseiras,0.500,,
P-00002,2,Pulseira dourada rabo de rato,22.00,25.00,,kg,71171900,Pulseiras,0.100,,
P-00003,2,Pulseira Rosé Rabo de Rato,22.00,25.00,,kg,71171900,Pulseiras,0.100,,
P-00004,2,Pulseira rabo de rato trama grossa,42.00,46.00,,kg,71171900,Pulseiras,0.100,,
P-00005,2,Pulseira com detalhe em acrílico redondo,52.00,38.00,,kg,71171900,Pulseiras,0.300,,
P-00006,2,Pulseira dourada com detalhe em acrílico,56.00,38.00,,kg,71171900,Pulseiras,0.300,,
P-00007,2,Pulseira dourada torcida,22.00,28.00,,kg,71171900,Pulseiras,0.100,,
P-00008,2,Pulseira de couro com laço,46.00,30.00,,kg,71171900,Pulseiras,0.300,,
P-00009,2,Pulseira dourada com detalhe de trevo,48.00,32.00,,kg,71171900,Pulseiras,0.300,,
P-00010,2,Pulseira de couro com Nossa Senhora ,62.00,40.00,,kg,71171900,Pulseiras,0.300,,
P-00011,2,Pulseira de Couro com detalhes,28.00,18.00,,kg,71171900,Pulseiras,0.200,,
P-00012,1,Pulseira dourada rabo de rato com trevo,89.50,117.00,,kg,71171900,Pulseiras,0.200,,
P-00018,3,Pulseira dourada de elos,169.80,71.00,,kg,71171900,Pulseiras,0.300,,
P-00019,2,Pulseira prateada de elos ,109.20,71.00,,kg,71171900,Pulseiras,0.300,,
P-00020,2,Pulseira rosé de elos,109.20,71.00,,kg,71171900,Pulseiras,0.300,,
P-00021,1,Pulseira de Couro com canutilhos,54.60,71.00,,kg,71171900,Pulseiras,0.200,,
P-00022,2,Pulseira dourada com cristais dentro,39.00,64.00,,kg,71171900,Pulseiras,0.007,,
P-00023,1,Pulseira de Couro com três argolas,15.50,106.00,,kg,71171900,Pulseiras,0.300,,
P-00024,2,Pulseira prata com cristais dentro,39.00,46.00,,kg,71171900,Pulseiras,0.007,,
P-00025,2,Pulseira dourada de bolinhas,38.00,28.00,,kg,71171900,Pulseiras,0.200,,
P-00026,1,Pulseira dourado escovada com elos Ovais,60.00,84.00,,kg,71171900,Pulseiras,0.200,,
P-00027,2,Puseira fumê com elos quadrados,39.00,80.00,,kg,71171900,Pulseiras,0.005,,
P-00028,2,Pulseira dourada com folhas cravejadas d,169.00,100.00,,kg,71171900,Pulseiras,0.016,,
P-00029,2,Pulseira fumê com folhas cravejadas de z,169.00,184.00,,kg,71171900,Pulseiras,0.014,,
P-00030,2,Pulseira 3 elos redondos prata  dourado ,99.00,108.00,,kg,71171900,Pulseiras,0.016,,
P-00031,2,Pulseira dourada corrente media,199.00,216.00,,kg,71171900,Pulseiras,0.017,,
P-00032,2,Pulseira dourada rabo de rato larga,56.00,61.00,,kg,71171900,Pulseiras,0.008,,
P-00033,2,Pulseira fumê rabo de rato larga,56.00,61.00,,kg,71171900,Pulseiras,0.008,,
P-00034,1,Pulseira dourada com franja fina,59.50,129.00,,kg,71171900,Pulseiras,0.015,,
P-00035,2,Pulseira prata com franja fina,119.00,129.00,,kg,71171900,Pulseiras,0.013,,
P-00037,2,Pulseira fumê com franja fina,119.00,129.00,,kg,71171900,Pulseiras,0.016,,
P-00038,2,Pulseira dourada com franja grossa,249.00,271.00,,kg,71171900,Pulseiras,0.040,,
P-00039,2,Pulseira prata com franja grossa,48.00,271.00,,kg,71171900,Pulseiras,0.040,,
P-00040,2,Pulseira rose com franja grossa,24.80,271.00,,kg,71171900,Pulseiras,0.040,,
P-00041,2,Pulseira fumê com franja grossa,249.00,271.00,,kg,71171900,Pulseiras,0.040,,
P-00042,2,Pulseira rose 3 elos com pinjente cruz  ,119.00,216.00,,kg,71171900,Pulseiras,0.025,,
P-00043,2,Pulseira dorada com pinejentes de olho g,34.00,37.00,,kg,71171900,Pulseiras,0.004,,
P-00044,2,Pulseira fumê 3 elos com pinjente de cor,179.00,195.00,,kg,71171900,Pulseiras,0.014,,
P-00045,2,Pulseira fumê com pinjente de trevo  cor,159.00,173.00,,kg,71171900,Pulseiras,0.025,,
P-00046,2,Pulseira rose 3 elos com pinjente de cor,149.00,162.00,,kg,71171900,Pulseiras,0.011,,
P-00047,2,Pulseira fumê 3 elos com pinjente de cor,149.00,162.00,,kg,71171900,Pulseiras,0.000,,
P-00048,1,Pulseira de couro com canutilhos.,15.00,20.00,,kg,71171900,Pulseiras,0.100,,
P-00049,1,Puseira prata com elos quadrados,39.00,140.00,,kg,71171900,Pulseiras,0.005,,
P-00050,1,Puseira rose com elos quadrados,39.00,46.00,,kg,71171900,Pulseiras,0.006,,
P-00053,1,Pulseira dourada com detalhe de coração,48.00,38.00,,kg,71171900,Pulseiras,0.200,,
P-00054,2,Pulseira dourada com símbolo da paz,36.00,28.00,,kg,71171900,Pulseiras,0.200,,
P-00055,1,Pulseira de couro com detalhe de gancho ,37.00,48.00,,kg,71171900,Pulseiras,0.100,,
P-00056,2,Pulseira de couro com canutilhos ,169.00,60.00,,kg,71171900,Pulseiras,0.200,,
P-00057,2,Pulseira rose com cristais dentro,39.00,64.00,,kg,71171900,Pulseiras,0.007,
